Jetz_name,prevalence
Ailuroedus_buccoides,0.35
Amalocichla_incerta,0.020408163
Amblyornis_macgregoriae,0.6875
Chaetorhynchus_papuensis,0
Colluricincla_megarhyncha,0.689320388
Crateroscelis_murina,0.019230769
Crateroscelis_nigrorufa,0.068181818
Crateroscelis_robusta,0.014285714
Gallicolumba_beccarii,0.1
Heteromyias_albispecularis,0.717948718
Ifrita_kowaldi,0
Melanocharis_longicauda,0.764705882
Melanocharis_nigra,0.89010989
Melanocharis_versteri,0.787671233
Melilestes_megarhynchus,0.918918919
Meliphaga_montana,0.863636364
Microeca_papuana,0
Monarcha_axillaris,0.130434783
Monarcha_guttula,0.16
Monarcha_manadensis,0.923076923
Toxorhamphus_iliolophus,0.863636364
Pachycephala_hyperythra,0.034482759
Aleadryas_rufinucha,0.027027027
Pachycephala_schlegelii,0
Pachycephala_soror,0
Pachycephalopsis_poliosoma,0.512820513
Peneothello_bimaculata,0.857142857
Peneothello_cyanus,0.761363636
Peneothello_sigillatus,0.47826087
Pitohui_dichrous,0.896551724
Pitohui_kirhocephalus,1
Pitohui_nigrescens,0
Ptiloprora_guisei,0.907216495
Ptilorrhoa_caerulescens,0
Ptilorrhoa_castanonota,0
Ptilorrhoa_leucosticta,0
Rhagologus_leucostigma,0.130434783
Rhipidura_albolimbata,0
Rhipidura_atra,0.035714286
Rhipidura_hyperythra,0
Rhipidura_threnothorax,0
Sericornis_arfakianus,0.315789474
Sericornis_nouhuysi,0.150537634
Sericornis_papuensis,0.074074074
Sericornis_perspicillatus,0.181818182
Sericornis_spilodera,0
Timeliopsis_fulvigula,0.4
Toxorhamphus_novaeguineae,0.034482759
Toxorhamphus_poliopterus,0.907284768
Tregellasia_leucops,1
Xanthotis_flaviventer,1
