"","species_clean","n()"
"1","Akletos goeldii",24
"2","Ammodramus aurifrons",2
"3","Anabacerthia striaticollis",8
"4","Anabazenops dorsalis",1
"5","Ancistrops strigilatus",2
"6","Anisognathus igniventris",14
"7","Anisognathus somptuosus",2
"8","Arremon taciturnus",17
"9","Arremon torquatus",13
"10","Automolus infuscatus",1
"11","Automolus melanopezus",1
"12","Automolus ochrolaemus",10
"13","Automolus subulatus",1
"14","Basileuterus tristriatus",11
"15","Buthraupis montana",4
"16","Campylopterus largipennis",1
"17","Catharus ustulatus",3
"18","Ceratopipra chloromeros",102
"19","Chamaeza mollissima",1
"20","Chiroxiphia boliviana",1
"21","Chlorochrysa calliparaea",3
"22","Chlorornis riefferii",14
"23","Chlorospingus flavigularis",16
"24","Chlorospingus flavopectus",5
"25","Chlorothraupis carmioli",6
"26","Conopophaga peruviana",1
"27","Corythopis torquatus",14
"28","Cyanerpes caeruleus",2
"29","Cyanoloxia cyanoides",7
"30","Cyphorhinus arada",1
"31","Cyphorhinus thoracicus",13
"32","Deconychura longicauda",5
"33","Dendroma erythroptera",1
"34","Dendroma rufa",1
"35","Dichrozona cincta",1
"36","Diglossa glauca",1
"37","Dubusia taeniata",1
"38","Epinecrophylla erythrura",1
"39","Epinecrophylla leucophthalma",2
"40","Euphonia xanthogaster",1
"41","Eutoxeres condamini",1
"42","Formicarius analis",7
"43","Formicarius rufipectus",1
"44","Galbula cyanescens",2
"45","Geotrygon montana",5
"46","Glyphorynchus spirurus",8
"47","Habia rubica",12
"48","Hafferia fortis",1
"49","Haplospiza rustica",5
"50","Hylophylax naevius",10
"51","Iridosornis analis",2
"52","Iridosornis jelskii",18
"53","Isleria hauxwelli",21
"54","Kleinothraupis atropileus",28
"55","Lanio versicolor",5
"56","Laniocera hypopyrra",3
"57","Lepidothrix coronata",16
"58","Leptopogon amaurocephalus",17
"59","Leptopogon superciliaris",8
"60","Lophotriccus pileatus",4
"61","Malacoptila fulvogularis",7
"62","Malacoptila semicincta",5
"63","Mecocerculus stictopterus",1
"64","Microcerculus marginatus",12
"65","Micromonacha lanceolata",1
"66","Mionectes macconnelli",14
"67","Mionectes oleagineus",15
"68","Mionectes olivaceus",23
"69","Mionectes striaticollis",1
"70","Momotus momota",2
"71","Monasa morphoeus",3
"72","Monasa nigrifrons",2
"73","Myiobius barbatus",5
"74","Myioborus melanocephalus",12
"75","Myioborus miniatus",5
"76","Myiothlypis bivittata",11
"77","Myiothlypis coronata",12
"78","Myrmoborus leucophrys",1
"79","Myrmoborus lophotes",6
"80","Myrmoborus myotherinus",5
"81","Myrmotherula axillaris",20
"82","Myrmotherula longicauda",2
"83","Myrmotherula longipennis",4
"84","Myrmotherula menetriesii",2
"85","Myrmotherula schisticolor",3
"86","Neoctantes niger",1
"87","Oneillornis salvini",19
"88","Phaethornis koepckeae",1
"89","Phlegopsis nigromaculata",5
"90","Phylloscartes ophthalmicus",6
"91","Pipra fasciicauda",25
"92","Pipreola arcuata",8
"93","Pipreola intermedia",19
"94","Piprites chloris",1
"95","Platyrinchus coronatus",2
"96","Platyrinchus platyrhynchos",6
"97","Premnoplex brunnescens",28
"98","Psarocolius angustifrons",1
"99","Pteroglossus azara",2
"100","Pteroglossus beauharnaisii",2
"101","Pyrrhomyias cinnamomeus",3
"102","Ramphastos tucanus",1
"103","Ramphotrigon fuscicauda",3
"104","Rhegmatorhina melanosticta",5
"105","Rhynchocyclus fulvipectus",6
"106","Rhytipterna simplex",3
"107","Rupicola peruvianus",8
"108","Saltator maximus",1
"109","Schiffornis turdina",9
"110","Sciaphylax hemimelaena",4
"111","Sclerurus caudacutus",9
"112","Sphenopsis melanotis",10
"113","Sporathraupis cyanocephala",12
"114","Sporophila nigricollis",3
"115","Synallaxis cabanisi",1
"116","Syndactyla ucayalae",1
"117","Tangara arthus",10
"118","Tangara schrankii",6
"119","Terenotriccus erythrurus",7
"120","Thalurania furcata",1
"121","Thamnomanes ardesiacus",13
"122","Thamnomanes schistogynus",12
"123","Thamnophilus schistaceus",13
"124","Thripadectes melanorhynchus",14
"125","Trichothraupis melanops",8
"126","Trogon violaceus",1
"127","Tunchiornis ochraceiceps",6
"128","Turdus albicollis",3
"129","Willisornis poecilinotus",26
"130","Xenops minutus",5
"131","Xenops tenuirostris",1
"132","Xiphorhynchus elegans",3
"133","Xiphorhynchus triangularis",1
